id,temp,hum,soil_mois,rain,flow_rate,volume,field_id,timestamp
1,34.5,39.1,26.39,0,0,0.36,f1,12/29/2024 12:45
2,34.5,39.1,44.57,0,0,0.47,f2,12/29/2024 12:45
3,34.5,39.5,25.51,0,0,0.36,f1,12/29/2024 12:45
4,34.5,39.5,43.01,0,0,0.47,f2,12/29/2024 12:45
5,34.8,39.6,25.81,0,0,0.36,f1,12/29/2024 12:46
6,34.8,39.6,43.79,0,0,0.47,f2,12/29/2024 12:46
7,34.8,39.7,25.81,0,0,0.36,f1,12/29/2024 12:46
8,34.8,39.7,42.62,0,0,0.47,f2,12/29/2024 12:46
9,35.2,38.9,26,0,0,0.36,f1,12/29/2024 12:47
10,35.2,38.9,44.09,0,0,0.47,f2,12/29/2024 12:47
11,35.2,39.2,25.42,0,0,0.36,f1,12/29/2024 12:47
12,35.2,39.2,42.62,0,0,0.47,f2,12/29/2024 12:47
13,36.2,38.5,25.9,0,0,0.36,f1,12/29/2024 12:48
14,36.2,38.5,43.01,0,0,0.47,f2,12/29/2024 12:48
15,36.1,38.4,25.22,0,0,0.36,f1,12/29/2024 12:48
16,36.1,38.4,41.15,0,0,0.47,f2,12/29/2024 12:48
17,36.1,38.5,25.42,0,0,0.36,f1,12/29/2024 12:49
18,36.1,38.5,40.27,0,0,0.47,f2,12/29/2024 12:49
19,36.1,38.4,25.42,0,0,0.36,f1,12/29/2024 12:49
20,36.1,38.4,40.27,0,0,0.47,f2,12/29/2024 12:49
21,36.3,39.4,25.51,0,0,0.36,f1,12/29/2024 12:50
22,36.3,39.4,39.49,0,0,0.47,f2,12/29/2024 12:50
23,36.3,39.8,25.9,0,0,0.36,f1,12/29/2024 12:50
24,36.3,39.8,39.39,0,0,0.47,f2,12/29/2024 12:50
25,36.7,38.9,25.9,0,0,0.36,f1,12/29/2024 12:51
26,36.7,38.9,39.69,0,0,0.47,f2,12/29/2024 12:51
27,36.7,38.9,25.32,0,0,0.36,f1,12/29/2024 12:51
28,36.7,38.9,38.22,0,0,0.47,f2,12/29/2024 12:51
29,36.4,37.9,26.39,0,0,0.36,f1,12/29/2024 12:52
30,36.4,37.9,39.78,0,0,0.47,f2,12/29/2024 12:52
31,36.3,38,26,0,0,0.36,f1,12/29/2024 12:52
32,36.3,38,39.78,0,0,0.47,f2,12/29/2024 12:52
33,34.6,38.2,25.22,0,0,0.36,f1,12/29/2024 12:53
34,34.6,38.2,36.66,0,0,0.47,f2,12/29/2024 12:53
35,34.5,38.3,25.81,0,0,0.36,f1,12/29/2024 12:53
36,34.5,38.3,38.32,0,0,0.47,f2,12/29/2024 12:53
37,33.6,40.1,70.38,0,6.67,2,f1,12/29/2024 12:54
38,33.6,40.1,38.91,0,0,0.47,f2,12/29/2024 12:54
39,33.5,40.2,74.29,0,6.67,2.11,f1,12/29/2024 12:54
40,33.5,40.2,39.88,0,0,0.47,f2,12/29/2024 12:54
41,33.7,41.6,84.95,0,0,3.13,f1,12/29/2024 12:55
42,33.7,41.6,82.8,0,6.4,1.4,f2,12/29/2024 12:55
43,33.8,41.6,84.56,0,2.4,3.17,f1,12/29/2024 12:55
44,33.8,41.6,82.21,0,2,1.44,f2,12/29/2024 12:55
45,34.5,41.3,83.09,0,0,3.17,f1,12/29/2024 12:56
46,34.5,41.3,80.25,0,7.2,1.81,f2,12/29/2024 12:56
47,34.5,41.2,82.7,0,0,3.17,f1,12/29/2024 12:56
48,34.5,41.2,79.57,0,6.93,1.92,f2,12/29/2024 12:56
49,34.7,41,81.52,0,0,3.24,f1,12/29/2024 12:57
50,34.7,41,78.98,0,6.8,3.71,f2,12/29/2024 12:57
51,34.7,41,81.33,0,0,3.24,f1,12/29/2024 12:57
52,34.7,41,78.69,0,6.67,3.82,f2,12/29/2024 12:57
53,34.1,40.5,80.35,0,0,3.26,f1,12/29/2024 12:58
54,34.1,40.5,76.83,0,0,4.64,f2,12/29/2024 12:58
55,33.9,40.7,80.25,0,0,3.26,f1,12/29/2024 12:58
56,33.9,40.7,76.74,0,0,4.64,f2,12/29/2024 12:58
57,33.7,41.4,80.55,0,0,3.6,f1,12/29/2024 12:59
58,33.7,41.4,76.34,0,0,4.64,f2,12/29/2024 12:59
59,33.7,41.2,79.67,0,0,3.6,f1,12/29/2024 12:59
60,33.7,41.1,76.15,0,0,4.64,f2,12/29/2024 12:59
61,33.7,41.7,78.89,0,0,3.6,f1,12/29/2024 13:00
62,33.7,41.7,75.07,0,0,4.64,f2,12/29/2024 13:00
63,33.8,41.9,78.89,0,0,3.6,f1,12/29/2024 13:00
64,33.8,41.9,74.98,0,0,4.64,f2,12/29/2024 13:00
65,34.5,41.7,78.98,0,0,3.6,f1,12/29/2024 13:01
66,34.5,41.7,74.29,0,0,4.64,f2,12/29/2024 13:01
67,34.6,41.6,78.98,0,0,3.6,f1,12/29/2024 13:01
68,34.6,41.6,74.19,0,0,4.64,f2,12/29/2024 13:01
69,35.4,42.1,79.18,0,0,3.6,f1,12/29/2024 13:02
70,35.4,42.1,74.19,0,0,4.64,f2,12/29/2024 13:02
71,35.5,42.2,78.59,0,0,3.6,f1,12/29/2024 13:02
72,35.5,42.2,73.41,0,0,4.64,f2,12/29/2024 13:02
73,35.1,40.5,78.89,0,0,3.6,f1,12/29/2024 13:03
74,35.1,40.5,73.7,0,0,4.64,f2,12/29/2024 13:03
